Código;Descripción corta;UdM base;Tipo;Perfil logístico
1F2VCRICH%FX39;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%FX40;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%KL35;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%KL36;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%KL37;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%KL38;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%KL39;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%KL40;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%NG35;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%NG36;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%NG37;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%NG38;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%NG39;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%NG40;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%VD35;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%VD36;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%VD37;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%VD38;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%VD39;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%VD40;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VGCHERI%JY35;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%JY36;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%JY37;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%JY38;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%JY39;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%JY40;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%KL35;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%KL36;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%KL37;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%KL38;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%KL39;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%KL40;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%MB35;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%MB36;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%MB37;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%MB38;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%MB39;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%MB40;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%NG35;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%NG36;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%NG37;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%NG38;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%NG39;SANDALIA DE TIRAS;UN;CALZADO;
1F2VGCHERI%NG40;SANDALIA DE TIRAS;UN;CALZADO;
1F2VTGLOBI%NG35;SANDALIA CON CINTA;UN;CALZADO;
1F2VTGLOBI%NG36;SANDALIA CON CINTA;UN;CALZADO;
1F2VTGLOBI%NG37;SANDALIA CON CINTA;UN;CALZADO;
1F2VTGLOBI%NG38;SANDALIA CON CINTA;UN;CALZADO;
1F2VTGLOBI%NG39;SANDALIA CON CINTA;UN;CALZADO;
1F2VTGLOBI%NG40;SANDALIA CON CINTA;UN;CALZADO;
